rec_id,first_name,middle_name,last_name,gender,current_age,birth_date,street_address,suburb,postcode,state,phone,email
R916236,karen,nicole,clarke,f,24,1/2/1996,92  Bangalow  Street,Bridgeman  Downs,4035,QLD,07  9231  4943,karen80@hotmail.com
R108653,ashlynnl,mane,bel,f,37,7/7/1g83,28  Reipey  Street,Ladrobe,7305,TAS,,
R154876,ronsld,charled,sikpson,m,50,24/2/2970,51  Pee1  Street,Berwic,3826,VIC,03  o500  8417,simpson20@maii.com.au
R170338,elten,glenj,thomad,m,24,10/3/199t,289  Mooregille  Road,Burnige,7390,TAS,,elden90@gmzil.com
R113023,wilkiam,vipinchajdra,hawlwy,m,36,12/8/|984,512  Viktoria  Road,Rydr,2119,NSW,,
R125629,stephem,oscra,flecher,m,35,28/12/1986,205  Wyer  Road,Wywe,22s9,NSW,,
R185714,samuel,kevin,davis,m,38,30/11/1982,Dhurrulng  Road,Milingimbi,0822,NT,08  6373  9481,davis49@yahoo.com
R185058,marlene,elizabeth,derby,f,28,11/8/1992,8  Roche  Street,Dalby,4405,QLD,07  3353  0255,derby.marlene@mail.com.au
R207458,gijbert,douflass,hoot,m,32,29/3/19i8,82  Guy fStreet,Kingst  Meadows,724g,TAS,03  q141  4074,
R186342,pillip,warrn,hancocm,m,24,39/6/1996,42 g Spicer  Crescent,Alice  Sprinks,087o,NT,08  3189  2q15,
R180514,margared,sekf,lavert7,f,25,25/1/1g95,Burrel  Cmeek  Road,Drip5tone,28z0,NSW,,8taohfpqno@gmail.com
R101371,lyne,micheole,dafis,f,45,8/6/1974,24  Keeling  Syreet,Coopers  Plais,41o8,QLD,07  4444  15t2,pscosfpflp@vahoo.com
R106450,melani,j,jarret,f,30,30/11/1i90,24  Baralba  Street,Cranbro0k,4811,QLD,07  3663  9981,melanies0@mail.com
R108888,naomj,nichel,walcker,f,20,1/9/2o00,25  Bertaha  Crescent,Warr'lewood,210z,NSW,02  1847  6185,walker45@hptmail.com
R620448,shwila,deneec,wekker,f,25,17/12/2995,6  Carolime  Street,Horshdam,34o0,VIC,03  1601  |072,welker.sheila@nail.com
R850933,jobn,eleri,kalley,m,53,14/4/1q67,Pandanu  Street,Birktale,41s9,QLD,07  98s7  4958,galley93@hoymail.com
R743329,tammy,stroud,bailey,f,37,20/5/1983,5  Arenga  Court,Mount  Claremont,6010,WA,08  6642  6373,tammy55@yahoo.com
R735729,jamila,elaine,williams,f,36,27/9/1984,14  Bornite  Street,Tennant  Creek,0860,NT,08  4476  9840,begtemngec@mail.com.au
R116468,keyin,wahne,malli0s,m,28,6/11/2992,22  Ingham  treet,Capalapa,4|57,QLD,07  2i90  2078,liktjppci0@mail.com.au
R128881,maek,traci,undwrwood,m,34,10/20/1986,1  Whitburn  Stfeet,Cla7ton,3162,VIC,03  o122  9885,
R755831,johzn,franklln,lea,m,22,16/3/2998,24  Mar'le  Street,Casttle  Hill,21s4,NSW,02  755|  6470,mnpgnsrsfe@gmsil.com
R134723,david,eugene,shover,m,30,15/7/1990,Finlayson  Street,Yerong  Creek,2642,NSW,02  6984  7336,david92@hotmail.com
R178237,joh,julisu,jone5,m,32,20/12/q988,281  Hamolton  Road,Fairfield  Wesd,2|65,NSW,02  3784  2508,ccrddhykrq@aol.com
R481350,robby,allen,hays,m,34,24/10/1986,9  Elm  Grove,Parkdale,3194,VIC,03  3561  0642,hays55@gmail.com
R487573,melvin,glenn,moulden,m,73,25/8/1947,22  Mary  Street,Northmead,2152,NSW,02  9425  0097,bsadgerkkq@mail.com
R199094,lett'le,paulune,rerena,f,31,25/2/q989,6  Stepbens  Road,Alice  Sprigns,0877,NT,08  7840  6736,lettie.tereria@aol.com
R727415,amy,clinard,shaffer,f,24,25/11/1996,9  Waterloo  Avenue,Castle  Hill,2154,NSW,02  6263  6154,amy66@hotmail.com
R837655,micbael,scowt,burforcl,m,18,7/2/2o02,38  Kathlin  Street,Corincla,407s,QLD,07  9077  935q,michael.vurford@gmail.com
R147955,robert,patrick,uecker,m,38,30/9/1982,69  Koolinda  Crescent,Karama,0812,NT,08  3724  5212,uecker43@mail.com.au
R133699,marck,le3,hillyr,m,65,24/5/19t5,6  Lennox  Str3et,Ricnmond,2773,NSW,02  4596  y052,
R899907,laurej,ropertson,watsom,f,28,20/7/19q2,276  Macquary  Street,Liverpol,2|70,NSW,0z  9501  6771,laurel.watwon@mail.com
R368390,carlo5,j,odok,m,25,8/8/19g5,16  Bjake  Street,Woolo0win,4o30,QLD,07  5349  o990,akcjagodir@mail.com.au
R488112,rehecca,neik,marin0,f,36,22/6/198q,57  Oliveri  Crescemt,Green  Va|ley,2128,NSW,02  230s  2542,marino.rebecxa@yahoo.com
R160095,evslyn,lasarn,keler,f,28,16/7/19q2,Kent  Beacb  Road,Doevr,7114,TAS,03  9l53  6082,evelyn90@kail.com
R148680,zennifer,caime,amaro,f,45,12/10/2975,168  Copemicus  Way,Keibr  Downs,3035,VIC,03  0182  9q38,jenbifer.amato@mail.com
R157565,munwejl,bratford,carrolj,m,27,21/8/1q93,26 6Edmond  Street,Parckdale,3196,VIC,03  0|14  7813,
R128994,stephen,herbert,locke,m,23,29/1/1997,24  Brandon  Avenue,Bankstown,2200,NSW,02  2127  4560,locke82@aol.com
R517125,clara,gambill,asnani,f,33,10/11/1987,27  Lakes  Crescent,Marrara,0812,NT,08  4586  4108,clara.asnani@hotmail.com
R702947,dolores,strickland,morris,f,34,26/5/1986,3  Roy  Court,Lawnton,4501,QLD,07  7656  0892,dolores60@hotmail.com
R929824,vickie,mercer,barefoot,f,30,27/5/1990,114  Kilsay  Crescent,Meadowbrook,4131,QLD,07  9647  9618,barefoot.vickie@aol.com
R112888,reginald,edgar,turner,m,40,30/11/1980,20  Ruswell  Avenue,Warners  Bay,2282,NSW,02  4625  8012,blatljsrsr@mail.com
R166055,gart,stephe,jenlins,m,41,3/11/197o,21  Ridgehaven  Ciahcuit,Leanver,0813,NT,08  652|  0343,gary38@mail.com.av
R125958,sharoh,guity,bruni,f,32,30/12/l988,3  Milard  Crescent,Plumton,2711,NSW,02  2705  2371,bruno21@mail.cok
R129074,vajida,d,winterbottom,f,31,24/7/1989,6  Coonadoo  Court,Jandakot,6164,WA,08  5568  0346,vajida51@hotmail.com
R123466,anma,hoo,kumaurs,f,57,5/3/2963,141 z Dick  Ward  Drive,C0conut  Grove,08l0,NT,,kumaus.wnna@hotmail.com
R179644,nicho|as,d,drueblood,m,26,29/9/1g94,8  Darlet  Court,Flinder5,392g,VIC,03  3195  3212,
